Name,Weapon Name,Affinity (Dropdown),Affinity,Max Upgrade,Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Physical Damage Type,Weight,Weapon Type,2H Dual-Wield,Reinforce Type ID
Heavy Longhaft Axe,Longhaft Axe,Heavy,Heavy,25,24,8,0,0,0,Standard,12.5,Greataxe,No,100
Keen Longhaft Axe,Longhaft Axe,Keen,Keen,25,24,8,0,0,0,Standard,12.5,Greataxe,No,200
Quality Longhaft Axe,Longhaft Axe,Quality,Quality,25,24,8,0,0,0,Standard,12.5,Greataxe,No,300
Fire Longhaft Axe,Longhaft Axe,Fire,Fire,25,24,8,0,0,0,Standard,12.5,Greataxe,No,400
Flame Art Longhaft Axe,Longhaft Axe,Flame Art,Flame Art,25,24,8,0,0,0,Standard,12.5,Greataxe,No,500
Lightning Longhaft Axe,Longhaft Axe,Lightning,Lightning,25,24,8,0,0,0,Standard,12.5,Greataxe,No,600
Sacred Longhaft Axe,Longhaft Axe,Sacred,Sacred,25,24,8,0,0,0,Standard,12.5,Greataxe,No,700
Magic Longhaft Axe,Longhaft Axe,Magic,Magic,25,24,8,0,0,0,Standard,12.5,Greataxe,No,800
Cold Longhaft Axe,Longhaft Axe,Cold,Cold,25,24,8,0,0,0,Standard,12.5,Greataxe,No,900
Poison Longhaft Axe,Longhaft Axe,Poison,Poison,25,24,8,0,0,0,Standard,12.5,Greataxe,No,1000
Blood Longhaft Axe,Longhaft Axe,Blood,Blood,25,24,8,0,0,0,Standard,12.5,Greataxe,No,1100
Occult Longhaft Axe,Longhaft Axe,Occult,Occult,25,24,8,0,0,0,Standard,12.5,Greataxe,No,1200
Rusted Anchor,Rusted Anchor,None,None,25,26,9,0,0,0,Pierce,12.5,Greataxe,No,0
Heavy Rusted Anchor,Rusted Anchor,Heavy,Heavy,25,26,9,0,0,0,Pierce,12.5,Greataxe,No,6000
Keen Rusted Anchor,Rusted Anchor,Keen,Keen,25,26,9,0,0,0,Pierce,12.5,Greataxe,No,200
Quality Rusted Anchor,Rusted Anchor,Quality,Quality,25,26,9,0,0,0,Pierce,12.5,Greataxe,No,300
Fire Rusted Anchor,Rusted Anchor,Fire,Fire,25,26,9,0,0,0,Pierce,12.5,Greataxe,No,400
Flame Art Rusted Anchor,Rusted Anchor,Flame Art,Flame Art,25,26,9,0,0,0,Pierce,12.5,Greataxe,No,500
Lightning Rusted Anchor,Rusted Anchor,Lightning,Lightning,25,26,9,0,0,0,Pierce,12.5,Greataxe,No,600
Sacred Rusted Anchor,Rusted Anchor,Sacred,Sacred,25,26,9,0,0,0,Pierce,12.5,Greataxe,No,700
Magic Rusted Anchor,Rusted Anchor,Magic,Magic,25,26,9,0,0,0,Pierce,12.5,Greataxe,No,800
Cold Rusted Anchor,Rusted Anchor,Cold,Cold,25,26,9,0,0,0,Pierce,12.5,Greataxe,No,900
Poison Rusted Anchor,Rusted Anchor,Poison,Poison,25,26,9,0,0,0,Pierce,12.5,Greataxe,No,1000
Blood Rusted Anchor,Rusted Anchor,Blood,Blood,25,26,9,0,0,0,Pierce,12.5,Greataxe,No,1100
Occult Rusted Anchor,Rusted Anchor,Occult,Occult,25,26,9,0,0,0,Pierce,12.5,Greataxe,No,1200
Executioner's Greataxe,Executioner's Greataxe,None,None,25,34,8,0,0,0,Standard,15,Greataxe,No,0
Executioner's Heavy Greataxe,Executioner's Greataxe,Heavy,Heavy,25,34,8,0,0,0,Standard,15,Greataxe,No,6000
Executioner's Keen Greataxe,Executioner's Greataxe,Keen,Keen,25,34,8,0,0,0,Standard,15,Greataxe,No,200
Executioner's Quality Greataxe,Executioner's Greataxe,Quality,Quality,25,34,8,0,0,0,Standard,15,Greataxe,No,300
Executioner's Fire Greataxe,Executioner's Greataxe,Fire,Fire,25,34,8,0,0,0,Standard,15,Greataxe,No,400
Executioner's Flame Art Greataxe,Executioner's Greataxe,Flame Art,Flame Art,25,34,8,0,0,0,Standard,15,Greataxe,No,500
Executioner's Lightning Greataxe,Executioner's Greataxe,Lightning,Lightning,25,34,8,0,0,0,Standard,15,Greataxe,No,600
Executioner's Sacred Greataxe,Executioner's Greataxe,Sacred,Sacred,25,34,8,0,0,0,Standard,15,Greataxe,No,700
Executioner's Magic Greataxe,Executioner's Greataxe,Magic,Magic,25,34,8,0,0,0,Standard,15,Greataxe,No,800
Executioner's Cold Greataxe,Executioner's Greataxe,Cold,Cold,25,34,8,0,0,0,Standard,15,Greataxe,No,900
Executioner's Poison Greataxe,Executioner's Greataxe,Poison,Poison,25,34,8,0,0,0,Standard,15,Greataxe,No,1000
Executioner's Blood Greataxe,Executioner's Greataxe,Blood,Blood,25,34,8,0,0,0,Standard,15,Greataxe,No,1100
Executioner's Occult Greataxe,Executioner's Greataxe,Occult,Occult,25,34,8,0,0,0,Standard,15,Greataxe,No,1200
Winged Greathorn,Winged Greathorn,None,-,10,30,20,0,0,0,Standard,11,Greataxe,No,2200
Butchering Knife,Butchering Knife,None,None,25,16,20,0,0,0,Standard,8.5,Greataxe,No,0
Heavy Butchering Knife,Butchering Knife,Heavy,Heavy,25,16,20,0,0,0,Standard,8.5,Greataxe,No,100
Keen Butchering Knife,Butchering Knife,Keen,Keen,25,16,20,0,0,0,Standard,8.5,Greataxe,No,5000
Quality Butchering Knife,Butchering Knife,Quality,Quality,25,16,20,0,0,0,Standard,8.5,Greataxe,No,300
Fire Butchering Knife,Butchering Knife,Fire,Fire,25,16,20,0,0,0,Standard,8.5,Greataxe,No,400
Flame Art Butchering Knife,Butchering Knife,Flame Art,Flame Art,25,16,20,0,0,0,Standard,8.5,Greataxe,No,500
Lightning Butchering Knife,Butchering Knife,Lightning,Lightning,25,16,20,0,0,0,Standard,8.5,Greataxe,No,600
Sacred Butchering Knife,Butchering Knife,Sacred,Sacred,25,16,20,0,0,0,Standard,8.5,Greataxe,No,700
Magic Butchering Knife,Butchering Knife,Magic,Magic,25,16,20,0,0,0,Standard,8.5,Greataxe,No,800
Cold Butchering Knife,Butchering Knife,Cold,Cold,25,16,20,0,0,0,Standard,8.5,Greataxe,No,900
Poison Butchering Knife,Butchering Knife,Poison,Poison,25,16,20,0,0,0,Standard,8.5,Greataxe,No,1000
Blood Butchering Knife,Butchering Knife,Blood,Blood,25,16,20,0,0,0,Standard,8.5,Greataxe,No,1100
Occult Butchering Knife,Butchering Knife,Occult,Occult,25,16,20,0,0,0,Standard,8.5,Greataxe,No,1200
Gargoyle's Great Axe,Gargoyle's Great Axe,None,None,25,24,8,0,0,0,Standard,8.5,Greataxe,No,0
Gargoyle's Heavy Great Axe,Gargoyle's Great Axe,Heavy,Heavy,25,24,8,0,0,0,Standard,8.5,Greataxe,No,6000
Gargoyle's Keen Great Axe,Gargoyle's Great Axe,Keen,Keen,25,24,8,0,0,0,Standard,8.5,Greataxe,No,200
Gargoyle's Quality Great Axe,Gargoyle's Great Axe,Quality,Quality,25,24,8,0,0,0,Standard,8.5,Greataxe,No,300
Gargoyle's Fire Great Axe,Gargoyle's Great Axe,Fire,Fire,25,24,8,0,0,0,Standard,8.5,Greataxe,No,400
Gargoyle's Flame Art Great Axe,Gargoyle's Great Axe,Flame Art,Flame Art,25,24,8,0,0,0,Standard,8.5,Greataxe,No,500
Gargoyle's Lightning Great Axe,Gargoyle's Great Axe,Lightning,Lightning,25,24,8,0,0,0,Standard,8.5,Greataxe,No,600
Gargoyle's Sacred Great Axe,Gargoyle's Great Axe,Sacred,Sacred,25,24,8,0,0,0,Standard,8.5,Greataxe,No,700
Gargoyle's Magic Great Axe,Gargoyle's Great Axe,Magic,Magic,25,24,8,0,0,0,Standard,8.5,Greataxe,No,800
Gargoyle's Cold Great Axe,Gargoyle's Great Axe,Cold,Cold,25,24,8,0,0,0,Standard,8.5,Greataxe,No,900
Gargoyle's Poison Great Axe,Gargoyle's Great Axe,Poison,Poison,25,24,8,0,0,0,Standard,8.5,Greataxe,No,1000
Gargoyle's Blood Great Axe,Gargoyle's Great Axe,Blood,Blood,25,24,8,0,0,0,Standard,8.5,Greataxe,No,1100
Gargoyle's Occult Great Axe,Gargoyle's Great Axe,Occult,Occult,25,24,8,0,0,0,Standard,8.5,Greataxe,No,1200
Gargoyle's Black Axe,Gargoyle's Black Axe,None,-,10,24,8,0,22,0,Standard,8.5,Greataxe,No,2200
Short Spear,Short Spear,None,None,25,10,10,0,0,0,Pierce,4,Spear,No,0
Heavy Short Spear,Short Spear,Heavy,Heavy,25,10,10,0,0,0,Pierce,4,Spear,No,100
Keen Short Spear,Short Spear,Keen,Keen,25,10,10,0,0,0,Pierce,4,Spear,No,200
Quality Short Spear,Short Spear,Quality,Quality,25,10,10,0,0,0,Pierce,4,Spear,No,300
Fire Short Spear,Short Spear,Fire,Fire,25,10,10,0,0,0,Pierce,4,Spear,No,400
Flame Art Short Spear,Short Spear,Flame Art,Flame Art,25,10,10,0,0,0,Pierce,4,Spear,No,500
Lightning Short Spear,Short Spear,Lightning,Lightning,25,10,10,0,0,0,Pierce,4,Spear,No,600
Sacred Short Spear,Short Spear,Sacred,Sacred,25,10,10,0,0,0,Pierce,4,Spear,No,700
Magic Short Spear,Short Spear,Magic,Magic,25,10,10,0,0,0,Pierce,4,Spear,No,800
Cold Short Spear,Short Spear,Cold,Cold,25,10,10,0,0,0,Pierce,4,Spear,No,900
Poison Short Spear,Short Spear,Poison,Poison,25,10,10,0,0,0,Pierce,4,Spear,No,1000
Blood Short Spear,Short Spear,Blood,Blood,25,10,10,0,0,0,Pierce,4,Spear,No,1100
Occult Short Spear,Short Spear,Occult,Occult,25,10,10,0,0,0,Pierce,4,Spear,No,1200
Spear,Spear,None,None,25,12,15,0,0,0,Pierce,4.5,Spear,No,0
Heavy Spear,Spear,Heavy,Heavy,25,12,15,0,0,0,Pierce,4.5,Spear,No,100
Keen Spear,Spear,Keen,Keen,25,12,15,0,0,0,Pierce,4.5,Spear,No,5000
Quality Spear,Spear,Quality,Quality,25,12,15,0,0,0,Pierce,4.5,Spear,No,300
Fire Spear,Spear,Fire,Fire,25,12,15,0,0,0,Pierce,4.5,Spear,No,400
Flame Art Spear,Spear,Flame Art,Flame Art,25,12,15,0,0,0,Pierce,4.5,Spear,No,500
Lightning Spear,Spear,Lightning,Lightning,25,12,15,0,0,0,Pierce,4.5,Spear,No,600
Sacred Spear,Spear,Sacred,Sacred,25,12,15,0,0,0,Pierce,4.5,Spear,No,700
Magic Spear,Spear,Magic,Magic,25,12,15,0,0,0,Pierce,4.5,Spear,No,800
Cold Spear,Spear,Cold,Cold,25,12,15,0,0,0,Pierce,4.5,Spear,No,900
Poison Spear,Spear,Poison,Poison,25,12,15,0,0,0,Pierce,4.5,Spear,No,1000
Bloody Spear,Spear,Blood,Blood,25,12,15,0,0,0,Pierce,4.5,Spear,No,1100
Occult Spear,Spear,Occult,Occult,25,12,15,0,0,0,Pierce,4.5,Spear,No,1200
Crystal Spear,Crystal Spear,None,-,10,10,16,16,0,0,Pierce,5.5,Spear,No,2200
Clayman's Harpoon,Clayman's Harpoon,None,None,25,12,10,12,0,0,Pierce,5.5,Spear,No,0
Clayman's Heavy Harpoon,Clayman's Harpoon,Heavy,Heavy,25,12,10,12,0,0,Pierce,5.5,Spear,No,6000
Clayman's Keen Harpoon,Clayman's Harpoon,Keen,Keen,25,12,10,12,0,0,Pierce,5.5,Spear,No,200
Clayman's Quality Harpoon,Clayman's Harpoon,Quality,Quality,25,12,10,12,0,0,Pierce,5.5,Spear,No,300
Clayman's Fire Harpoon,Clayman's Harpoon,Fire,Fire,25,12,10,12,0,0,Pierce,5.5,Spear,No,400
Clayman's Flame Art Harpoon,Clayman's Harpoon,Flame Art,Flame Art,25,12,10,12,0,0,Pierce,5.5,Spear,No,500
Clayman's Lightning Harpoon,Clayman's Harpoon,Lightning,Lightning,25,12,10,12,0,0,Pierce,5.5,Spear,No,600
Clayman's Sacred Harpoon,Clayman's Harpoon,Sacred,Sacred,25,12,10,12,0,0,Pierce,5.5,Spear,No,700
Clayman's Magic Harpoon,Clayman's Harpoon,Magic,Magic,25,12,10,12,0,0,Pierce,5.5,Spear,No,800
Clayman's Cold Harpoon,Clayman's Harpoon,Cold,Cold,25,12,10,12,0,0,Pierce,5.5,Spear,No,900
Clayman's Poison Harpoon,Clayman's Harpoon,Poison,Poison,25,12,10,12,0,0,Pierce,5.5,Spear,No,1000
Clayman's Blood Harpoon,Clayman's Harpoon,Blood,Blood,25,12,10,12,0,0,Pierce,5.5,Spear,No,1100
Clayman's Occult Harpoon,Clayman's Harpoon,Occult,Occult,25,12,10,12,0,0,Pierce,5.5,Spear,No,1200
Cleanrot Spear,Cleanrot Spear,None,-,10,16,16,0,14,0,Pierce,5.5,Spear,No,2200
Partisan,Partisan,None,None,25,15,12,0,0,0,Pierce,6.5,Spear,No,0
Heavy Partisan,Partisan,Heavy,Heavy,25,15,12,0,0,0,Pierce,6.5,Spear,No,100
Keen Partisan,Partisan,Keen,Keen,25,15,12,0,0,0,Pierce,6.5,Spear,No,200
Quality Partisan,Partisan,Quality,Quality,25,15,12,0,0,0,Pierce,6.5,Spear,No,300
Fire Partisan,Partisan,Fire,Fire,25,15,12,0,0,0,Pierce,6.5,Spear,No,400
Flame Art Partisan,Partisan,Flame Art,Flame Art,25,15,12,0,0,0,Pierce,6.5,Spear,No,500
Lightning Partisan,Partisan,Lightning,Lightning,25,15,12,0,0,0,Pierce,6.5,Spear,No,600
Sacred Partisan,Partisan,Sacred,Sacred,25,15,12,0,0,0,Pierce,6.5,Spear,No,700
Magic Partisan,Partisan,Magic,Magic,25,15,12,0,0,0,Pierce,6.5,Spear,No,800
Cold Partisan,Partisan,Cold,Cold,25,15,12,0,0,0,Pierce,6.5,Spear,No,900
Poison Partisan,Partisan,Poison,Poison,25,15,12,0,0,0,Pierce,6.5,Spear,No,1000
Blood Partisan,Partisan,Blood,Blood,25,15,12,0,0,0,Pierce,6.5,Spear,No,1100
Occult Partisan,Partisan,Occult,Occult,25,15,12,0,0,0,Pierce,6.5,Spear,No,1200
Celebrant's Rib-Rake,Celebrant's Rib-Rake,None,None,25,8,14,0,0,0,Pierce,5,Spear,No,0
Celebrant's Heavy Rib-Rake,Celebrant's Rib-Rake,Heavy,Heavy,25,8,14,0,0,0,Pierce,5,Spear,No,100
Celebrant's Keen Rib-Rake,Celebrant's Rib-Rake,Keen,Keen,25,8,14,0,0,0,Pierce,5,Spear,No,5000
Celebrant's Quality Rib-Rake,Celebrant's Rib-Rake,Quality,Quality,25,8,14,0,0,0,Pierce,5,Spear,No,300
Celebrant's Fire Rib-Rake,Celebrant's Rib-Rake,Fire,Fire,25,8,14,0,0,0,Pierce,5,Spear,No,400
Celebrant's Flame Art Rib-Rake,Celebrant's Rib-Rake,Flame Art,Flame Art,25,8,14,0,0,0,Pierce,5,Spear,No,500
Celebrant's Lightning Rib-Rake,Celebrant's Rib-Rake,Lightning,Lightning,25,8,14,0,0,0,Pierce,5,Spear,No,600
Celebrant's Sacred Rib-Rake,Celebrant's Rib-Rake,Sacred,Sacred,25,8,14,0,0,0,Pierce,5,Spear,No,700
Celebrant's Magic Rib-Rake,Celebrant's Rib-Rake,Magic,Magic,25,8,14,0,0,0,Pierce,5,Spear,No,800
Celebrant's Cold Rib-Rake,Celebrant's Rib-Rake,Cold,Cold,25,8,14,0,0,0,Pierce,5,Spear,No,900
Celebrant's Poison Rib-Rake,Celebrant's Rib-Rake,Poison,Poison,25,8,14,0,0,0,Pierce,5,Spear,No,1000
Celebrant's Blood Rib-Rake,Celebrant's Rib-Rake,Blood,Blood,25,8,14,0,0,0,Pierce,5,Spear,No,1100
Celebrant's Occult Rib-Rake,Celebrant's Rib-Rake,Occult,Occult,25,8,14,0,0,0,Pierce,5,Spear,No,1200
Pike,Pike,None,None,25,20,14,0,0,0,Pierce,7.5,Spear,No,0
Heavy Pike,Pike,Heavy,Heavy,25,20,14,0,0,0,Pierce,7.5,Spear,No,100
Keen Pike,Pike,Keen,Keen,25,20,14,0,0,0,Pierce,7.5,Spear,No,200
Quality Pike,Pike,Quality,Quality,25,20,14,0,0,0,Pierce,7.5,Spear,No,300
Fire Pike,Pike,Fire,Fire,25,20,14,0,0,0,Pierce,7.5,Spear,No,400
Flame Art Pike,Pike,Flame Art,Flame Art,25,20,14,0,0,0,Pierce,7.5,Spear,No,500
Lightning Pike,Pike,Lightning,Lightning,25,20,14,0,0,0,Pierce,7.5,Spear,No,600
Sacred Pike,Pike,Sacred,Sacred,25,20,14,0,0,0,Pierce,7.5,Spear,No,700
Magic Pike,Pike,Magic,Magic,25,20,14,0,0,0,Pierce,7.5,Spear,No,800
Cold Pike,Pike,Cold,Cold,25,20,14,0,0,0,Pierce,7.5,Spear,No,900
Poison Pike,Pike,Poison,Poison,25,20,14,0,0,0,Pierce,7.5,Spear,No,1000
Blood Pike,Pike,Blood,Blood,25,20,14,0,0,0,Pierce,7.5,Spear,No,1100
Occult Pike,Pike,Occult,Occult,25,20,14,0,0,0,Pierce,7.5,Spear,No,1200
Torchpole,Torchpole,None,-,25,14,15,0,0,0,Pierce,6,Spear,No,0
Bolt of Gransax,Bolt of Gransax,None,-,10,20,40,0,0,0,Pierce,8.5,Spear,No,2200
Cross-Naginata,Cross-Naginata,None,None,25,16,20,0,0,0,Pierce,8,Spear,No,0
Heavy Cross-Naginata,Cross-Naginata,Heavy,Heavy,25,16,20,0,0,0,Pierce,8,Spear,No,100
Keen Cross-Naginata,Cross-Naginata,Keen,Keen,25,16,20,0,0,0,Pierce,8,Spear,No,5000
Quality Cross-Naginata,Cross-Naginata,Quality,Quality,25,16,20,0,0,0,Pierce,8,Spear,No,300
Fire Cross-Naginata,Cross-Naginata,Fire,Fire,25,16,20,0,0,0,Pierce,8,Spear,No,400
Flame Art Cross-Naginata,Cross-Naginata,Flame Art,Flame Art,25,16,20,0,0,0,Pierce,8,Spear,No,500
Lightning Cross-Naginata,Cross-Naginata,Lightning,Lightning,25,16,20,0,0,0,Pierce,8,Spear,No,600
Sacred Cross-Naginata,Cross-Naginata,Sacred,Sacred,25,16,20,0,0,0,Pierce,8,Spear,No,700
Magic Cross-Naginata,Cross-Naginata,Magic,Magic,25,16,20,0,0,0,Pierce,8,Spear,No,800
Cold Cross-Naginata,Cross-Naginata,Cold,Cold,25,16,20,0,0,0,Pierce,8,Spear,No,900
Poison Cross-Naginata,Cross-Naginata,Poison,Poison,25,16,20,0,0,0,Pierce,8,Spear,No,1000
Blood Cross-Naginata,Cross-Naginata,Blood,Blood,25,16,20,0,0,0,Pierce,8,Spear,No,1100
Occult Cross-Naginata,Cross-Naginata,Occult,Occult,25,16,20,0,0,0,Pierce,8,Spear,No,1200
Death Ritual Spear,Death Ritual Spear,None,-,10,14,20,18,0,0,Pierce,6.5,Spear,No,2200
Inquisitor's Girandole,Inquisitor's Girandole,None,-,10,18,15,0,16,0,Pierce,7.5,Spear,No,2200
Spiked Spear,Spiked Spear,None,None,25,14,16,0,0,0,Pierce,6,Spear,No,0
Heavy Spiked Spear,Spiked Spear,Heavy,Heavy,25,14,16,0,0,0,Pierce,6,Spear,No,100
Keen Spiked Spear,Spiked Spear,Keen,Keen,25,14,16,0,0,0,Pierce,6,Spear,No,200
Quality Spiked Spear,Spiked Spear,Quality,Quality,25,14,16,0,0,0,Pierce,6,Spear,No,300
Fire Spiked Spear,Spiked Spear,Fire,Fire,25,14,16,0,0,0,Pierce,6,Spear,No,400
Flame Art Spiked Spear,Spiked Spear,Flame Art,Flame Art,25,14,16,0,0,0,Pierce,6,Spear,No,500
Lightning Spiked Spear,Spiked Spear,Lightning,Lightning,25,14,16,0,0,0,Pierce,6,Spear,No,600
Sacred Spiked Spear,Spiked Spear,Sacred,Sacred,25,14,16,0,0,0,Pierce,6,Spear,No,700
Magic Spiked Spear,Spiked Spear,Magic,Magic,25,14,16,0,0,0,Pierce,6,Spear,No,800
Cold Spiked Spear,Spiked Spear,Cold,Cold,25,14,16,0,0,0,Pierce,6,Spear,No,900
Poison Spiked Spear,Spiked Spear,Poison,Poison,25,14,16,0,0,0,Pierce,6,Spear,No,1000
Blood Spiked Spear,Spiked Spear,Blood,Blood,25,14,16,0,0,0,Pierce,6,Spear,No,1100
Occult Spiked Spear,Spiked Spear,Occult,Occult,25,14,16,0,0,0,Pierce,6,Spear,No,1200
Iron Spear,Iron Spear,None,None,25,13,11,0,0,0,Pierce,4.5,Spear,No,0
Heavy Iron Spear,Iron Spear,Heavy,Heavy,25,13,11,0,0,0,Pierce,4.5,Spear,No,100
Keen Iron Spear,Iron Spear,Keen,Keen,25,13,11,0,0,0,Pierce,4.5,Spear,No,200
Quality Iron Spear,Iron Spear,Quality,Quality,25,13,11,0,0,0,Pierce,4.5,Spear,No,300
Fire Iron Spear,Iron Spear,Fire,Fire,25,13,11,0,0,0,Pierce,4.5,Spear,No,400
Flame Art Iron Spear,Iron Spear,Flame Art,Flame Art,25,13,11,0,0,0,Pierce,4.5,Spear,No,500
Lightning Iron Spear,Iron Spear,Lightning,Lightning,25,13,11,0,0,0,Pierce,4.5,Spear,No,600
Sacred Iron Spear,Iron Spear,Sacred,Sacred,25,13,11,0,0,0,Pierce,4.5,Spear,No,700
Magic Iron Spear,Iron Spear,Magic,Magic,25,13,11,0,0,0,Pierce,4.5,Spear,No,800
Cold Iron Spear,Iron Spear,Cold,Cold,25,13,11,0,0,0,Pierce,4.5,Spear,No,900
Poison Iron Spear,Iron Spear,Poison,Poison,25,13,11,0,0,0,Pierce,4.5,Spear,No,1000
Blood Iron Spear,Iron Spear,Blood,Blood,25,13,11,0,0,0,Pierce,4.5,Spear,No,1100
Occult Iron Spear,Iron Spear,Occult,Occult,25,13,11,0,0,0,Pierce,4.5,Spear,No,1200
Rotten Crystal Spear,Rotten Crystal Spear,None,-,10,10,16,16,0,0,Pierce,5.5,Spear,No,2200
Mohgwyn's Sacred Spear,Mohgwyn's Spear,None,-,10,24,14,0,0,27,Pierce,10,Great Spear,No,2200
Siluria's Tree,Siluria's Tree,None,-,10,27,13,0,20,0,Pierce,10,Great Spear,No,2200
Serpent-Hunter,Serpent-Hunter,None,-,10,0,0,0,0,0,Pierce,12,Great Spear,No,2200
Vyke's War Spear,Vyke's War Spear,None,-,10,16,20,0,18,0,Pierce,8,Great Spear,No,2200
Lance,Lance,None,None,25,20,14,0,0,0,Pierce,9,Great Spear,No,0
Heavy Lance,Lance,Heavy,Heavy,25,20,14,0,0,0,Pierce,9,Great Spear,No,100
Keen Lance,Lance,Keen,Keen,25,20,14,0,0,0,Pierce,9,Great Spear,No,200
Quality Lance,Lance,Quality,Quality,25,20,14,0,0,0,Pierce,9,Great Spear,No,300
Fire Lance,Lance,Fire,Fire,25,20,14,0,0,0,Pierce,9,Great Spear,No,400
Flame Art Lance,Lance,Flame Art,Flame Art,25,20,14,0,0,0,Pierce,9,Great Spear,No,500
Lightning Lance,Lance,Lightning,Lightning,25,20,14,0,0,0,Pierce,9,Great Spear,No,600
Sacred Lance,Lance,Sacred,Sacred,25,20,14,0,0,0,Pierce,9,Great Spear,No,700
Magic Lance,Lance,Magic,Magic,25,20,14,0,0,0,Pierce,9,Great Spear,No,800
Cold Lance,Lance,Cold,Cold,25,20,14,0,0,0,Pierce,9,Great Spear,No,900
Poison Lance,Lance,Poison,Poison,25,20,14,0,0,0,Pierce,9,Great Spear,No,1000
Bloody Lance,Lance,Blood,Blood,25,20,14,0,0,0,Pierce,9,Great Spear,No,1100
Occult Lance,Lance,Occult,Occult,25,20,14,0,0,0,Pierce,9,Great Spear,No,1200
Treespear,Treespear,None,-,25,15,22,0,18,0,Pierce,9.5,Great Spear,No,0
Halberd,Halberd,None,None,25,14,12,0,0,0,Standard/Pierce,8,Halberd,No,0
Heavy Halberd,Halberd,Heavy,Heavy,25,14,12,0,0,0,Standard/Pierce,8,Halberd,No,100
Keen Halberd,Halberd,Keen,Keen,25,14,12,0,0,0,Standard/Pierce,8,Halberd,No,200
Quality Halberd,Halberd,Quality,Quality,25,14,12,0,0,0,Standard/Pierce,8,Halberd,No,300
Fire Halberd,Halberd,Fire,Fire,25,14,12,0,0,0,Standard/Pierce,8,Halberd,No,400
Flame Art Halberd,Halberd,Flame Art,Flame Art,25,14,12,0,0,0,Standard/Pierce,8,Halberd,No,500
Lightning Halberd,Halberd,Lightning,Lightning,25,14,12,0,0,0,Standard/Pierce,8,Halberd,No,600
Sacred Halberd,Halberd,Sacred,Sacred,25,14,12,0,0,0,Standard/Pierce,8,Halberd,No,700
Magic Halberd,Halberd,Magic,Magic,25,14,12,0,0,0,Standard/Pierce,8,Halberd,No,800
Cold Halberd,Halberd,Cold,Cold,25,14,12,0,0,0,Standard/Pierce,8,Halberd,No,900
Poison Halberd,Halberd,Poison,Poison,25,14,12,0,0,0,Standard/Pierce,8,Halberd,No,1000
Blood Halberd,Halberd,Blood,Blood,25,14,12,0,0,0,Standard/Pierce,8,Halberd,No,1100
Occult Halberd,Halberd,Occult,Occult,25,14,12,0,0,0,Standard/Pierce,8,Halberd,No,1200
Pest's Glaive,Pest's Glaive,None,None,25,13,13,0,0,0,Standard/Pierce,7,Halberd,No,0
Pest's Heavy Glaive,Pest's Glaive,Heavy,Heavy,25,13,13,0,0,0,Standard/Pierce,7,Halberd,No,100
Pest's Keen Glaive,Pest's Glaive,Keen,Keen,25,13,13,0,0,0,Standard/Pierce,7,Halberd,No,200
Pest's Quality Glaive,Pest's Glaive,Quality,Quality,25,13,13,0,0,0,Standard/Pierce,7,Halberd,No,300
Pest's Fire Glaive,Pest's Glaive,Fire,Fire,25,13,13,0,0,0,Standard/Pierce,7,Halberd,No,400
Pest's Flame Art Glaive,Pest's Glaive,Flame Art,Flame Art,25,13,13,0,0,0,Standard/Pierce,7,Halberd,No,500
Pest's Lightning Glaive,Pest's Glaive,Lightning,Lightning,25,13,13,0,0,0,Standard/Pierce,7,Halberd,No,600
Pest's Sacred Glaive,Pest's Glaive,Sacred,Sacred,25,13,13,0,0,0,Standard/Pierce,7,Halberd,No,700
Pest's Magic Glaive,Pest's Glaive,Magic,Magic,25,13,13,0,0,0,Standard/Pierce,7,Halberd,No,800
Pest's Cold Glaive,Pest's Glaive,Cold,Cold,25,13,13,0,0,0,Standard/Pierce,7,Halberd,No,900
Pest's Poison Glaive,Pest's Glaive,Poison,Poison,25,13,13,0,0,0,Standard/Pierce,7,Halberd,No,1000
Pest's Blood Glaive,Pest's Glaive,Blood,Blood,25,13,13,0,0,0,Standard/Pierce,7,Halberd,No,1100
Pest's Occult Glaive,Pest's Glaive,Occult,Occult,25,13,13,0,0,0,Standard/Pierce,7,Halberd,No,1200
Lucerne,Lucerne,None,None,25,15,12,0,0,0,Standard/Pierce,7,Halberd,No,0
Heavy Lucerne,Lucerne,Heavy,Heavy,25,15,12,0,0,0,Standard/Pierce,7,Halberd,No,100
Keen Lucerne,Lucerne,Keen,Keen,25,15,12,0,0,0,Standard/Pierce,7,Halberd,No,5000
Quality Lucerne,Lucerne,Quality,Quality,25,15,12,0,0,0,Standard/Pierce,7,Halberd,No,300
Fire Lucerne,Lucerne,Fire,Fire,25,15,12,0,0,0,Standard/Pierce,7,Halberd,No,400
Flame Art Lucerne,Lucerne,Flame Art,Flame Art,25,15,12,0,0,0,Standard/Pierce,7,Halberd,No,500
Lightning Lucerne,Lucerne,Lightning,Lightning,25,15,12,0,0,0,Standard/Pierce,7,Halberd,No,600
Sacred Lucerne,Lucerne,Sacred,Sacred,25,15,12,0,0,0,Standard/Pierce,7,Halberd,No,700
Magic Lucerne,Lucerne,Magic,Magic,25,15,12,0,0,0,Standard/Pierce,7,Halberd,No,800
Cold Lucerne,Lucerne,Cold,Cold,25,15,12,0,0,0,Standard/Pierce,7,Halberd,No,900
