Name,Str +0,Dex +0,Int +0,Fai +0,Arc +0,Str +1,Dex +1,Int +1,Fai +1,Arc +1,Str +2,Dex +2,Int +2,Fai +2,Arc +2,Str +3,Dex +3,Int +3,Fai +3,Arc +3,Str +4,Dex +4,Int +4,Fai +4,Arc +4,Str +5,Dex +5,Int +5,Fai +5,Arc +5,Str +6,Dex +6,Int +6,Fai +6,Arc +6,Str +7,Dex +7,Int +7,Fai +7,Arc +7,Str +8,Dex +8,Int +8,Fai +8,Arc +8,Str +9,Dex +9,Int +9,Fai +9,Arc +9,Str +10,Dex +10,Int +10,Fai +10,Arc +10,Str +11,Dex +11,Int +11,Fai +11,Arc +11,Str +12,Dex +12,Int +12,Fai +12,Arc +12,Str +13,Dex +13,Int +13,Fai +13,Arc +13,Str +14,Dex +14,Int +14,Fai +14,Arc +14,Str +15,Dex +15,Int +15,Fai +15,Arc +15,Str +16,Dex +16,Int +16,Fai +16,Arc +16,Str +17,Dex +17,Int +17,Fai +17,Arc +17,Str +18,Dex +18,Int +18,Fai +18,Arc +18,Str +19,Dex +19,Int +19,Fai +19,Arc +19,Str +20,Dex +20,Int +20,Fai +20,Arc +20,Str +21,Dex +21,Int +21,Fai +21,Arc +21,Str +22,Dex +22,Int +22,Fai +22,Arc +22,Str +23,Dex +23,Int +23,Fai +23,Arc +23,Str +24,Dex +24,Int +24,Fai +24,Arc +24,Str +25,Dex +25,Int +25,Fai +25,Arc +25
Celebrant's Poison Rib-Rake,0.18,0.51,0,0,0.3,0.1872,0.5304,0,0,0.309,0.1944,0.5508,0,0,0.318,0.2016,0.5712,0,0,0.327,0.2088,0.5916,0,0,0.336,0.216,0.612,0,0,0.345,0.2232,0.6324,0,0,0.354,0.2304,0.6528,0,0,0.363,0.2376,0.6732,0,0,0.372,0.2448,0.6936,0,0,0.381,0.252,0.714,0,0,0.39,0.2574,0.7293,0,0,0.393,0.2628,0.7446,0,0,0.396,0.2682,0.7599,0,0,0.399,0.2736,0.7752,0,0,0.402,0.279,0.7905,0,0,0.405,0.2844,0.8058,0,0,0.408,0.2898,0.8211,0,0,0.411,0.2952,0.8364,0,0,0.414,0.3006,0.8517,0,0,0.417,0.306,0.867,0,0,0.42,0.3132,0.8874,0,0,0.423,0.3204,0.9078,0,0,0.426,0.3276,0.9282,0,0,0.429,0.3348,0.9486,0,0,0.432,0.342,0.969,0,0,0.435
Celebrant's Blood Rib-Rake,0.18,0.51,0,0,0.3,0.1872,0.5304,0,0,0.309,0.1944,0.5508,0,0,0.318,0.2016,0.5712,0,0,0.327,0.2088,0.5916,0,0,0.336,0.216,0.612,0,0,0.345,0.2232,0.6324,0,0,0.354,0.2304,0.6528,0,0,0.363,0.2376,0.6732,0,0,0.372,0.2448,0.6936,0,0,0.381,0.252,0.714,0,0,0.39,0.2574,0.7293,0,0,0.393,0.2628,0.7446,0,0,0.396,0.2682,0.7599,0,0,0.399,0.2736,0.7752,0,0,0.402,0.279,0.7905,0,0,0.405,0.2844,0.8058,0,0,0.408,0.2898,0.8211,0,0,0.411,0.2952,0.8364,0,0,0.414,0.3006,0.8517,0,0,0.417,0.306,0.867,0,0,0.42,0.3132,0.8874,0,0,0.423,0.3204,0.9078,0,0,0.426,0.3276,0.9282,0,0,0.429,0.3348,0.9486,0,0,0.432,0.342,0.969,0,0,0.435
Celebrant's Occult Rib-Rake,0.064,0.176,0,0,0.65,0.0672,0.1848,0,0,0.676,0.0704,0.1936,0,0,0.702,0.0736,0.2024,0,0,0.728,0.0768,0.2112,0,0,0.754,0.08,0.22,0,0,0.78,0.0832,0.2288,0,0,0.806,0.0864,0.2376,0,0,0.832,0.0896,0.2464,0,0,0.858,0.0928,0.2552,0,0,0.884,0.096,0.264,0,0,0.91,0.0976,0.2684,0,0,0.9295,0.0992,0.2728,0,0,0.949,0.1008,0.2772,0,0,0.9685,0.1024,0.2816,0,0,0.988,0.104,0.286,0,0,1.0075,0.1056,0.2904,0,0,1.027,0.1072,0.2948,0,0,1.0465,0.1088,0.2992,0,0,1.066,0.1104,0.3036,0,0,1.0855,0.112,0.308,0,0,1.105,0.1136,0.3124,0,0,1.118,0.1152,0.3168,0,0,1.131,0.1168,0.3212,0,0,1.144,0.1184,0.3256,0,0,1.157,0.12,0.33,0,0,1.17
Pike,0.49,0.3,0,0,0,0.4998,0.306,0,0,0,0.5096,0.312,0,0,0,0.5194,0.318,0,0,0,0.5292,0.324,0,0,0,0.539,0.33,0,0,0,0.5488,0.336,0,0,0,0.5586,0.342,0,0,0,0.5684,0.348,0,0,0,0.5782,0.354,0,0,0,0.588,0.36,0,0,0,0.5978,0.366,0,0,0,0.6076,0.372,0,0,0,0.6174,0.378,0,0,0,0.6272,0.384,0,0,0,0.637,0.39,0,0,0,0.6468,0.396,0,0,0,0.6566,0.402,0,0,0,0.6664,0.408,0,0,0,0.6762,0.414,0,0,0,0.686,0.42,0,0,0,0.6958,0.426,0,0,0,0.7056,0.432,0,0,0,0.7154,0.438,0,0,0,0.7252,0.444,0,0,0,0.735,0.45,0,0,0
Heavy Pike,0.882,0,0,0,0,0.9065,0,0,0,0,0.931,0,0,0,0,0.9555,0,0,0,0,0.98,0,0,0,0,1.0045,0,0,0,0,1.029,0,0,0,0,1.0535,0,0,0,0,1.078,0,0,0,0,1.1025,0,0,0,0,1.127,0,0,0,0,1.1466,0,0,0,0,1.1662,0,0,0,0,1.1858,0,0,0,0,1.2054,0,0,0,0,1.225,0,0,0,0,1.2446,0,0,0,0,1.2642,0,0,0,0,1.2838,0,0,0,0,1.3034,0,0,0,0,1.323,0,0,0,0,1.3328,0,0,0,0,1.3426,0,0,0,0,1.3524,0,0,0,0,1.3622,0,0,0,0,1.372,0,0,0,0
Keen Pike,0.075,0.738,0,0,0,0.0795,0.7585,0,0,0,0.084,0.779,0,0,0,0.0885,0.7995,0,0,0,0.093,0.82,0,0,0,0.0975,0.8405,0,0,0,0.102,0.861,0,0,0,0.1065,0.8815,0,0,0,0.111,0.902,0,0,0,0.1155,0.9225,0,0,0,0.12,0.943,0,0,0,0.123,0.9594,0,0,0,0.126,0.9758,0,0,0,0.129,0.9922,0,0,0,0.132,1.0086,0,0,0,0.135,1.025,0,0,0,0.138,1.0414,0,0,0,0.141,1.0578,0,0,0,0.144,1.0742,0,0,0,0.147,1.0906,0,0,0,0.15,1.107,0,0,0,0.159,1.1152,0,0,0,0.168,1.1234,0,0,0,0.177,1.1316,0,0,0,0.186,1.1398,0,0,0,0.195,1.148,0,0,0
Quality Pike,0.51,0.51,0,0,0,0.5355,0.5355,0,0,0,0.561,0.561,0,0,0,0.5865,0.5865,0,0,0,0.612,0.612,0,0,0,0.6375,0.6375,0,0,0,0.663,0.663,0,0,0,0.6885,0.6885,0,0,0,0.714,0.714,0,0,0,0.7395,0.7395,0,0,0,0.765,0.765,0,0,0,0.7803,0.7803,0,0,0,0.7956,0.7956,0,0,0,0.8109,0.8109,0,0,0,0.8262,0.8262,0,0,0,0.8415,0.8415,0,0,0,0.8568,0.8568,0,0,0,0.8721,0.8721,0,0,0,0.8874,0.8874,0,0,0,0.9027,0.9027,0,0,0,0.918,0.918,0,0,0,0.9282,0.9282,0,0,0,0.9384,0.9384,0,0,0,0.9486,0.9486,0,0,0,0.9588,0.9588,0,0,0,0.969,0.969,0,0,0
Fire Pike,0.429,0.035,0,0,0,0.4422,0.0371,0,0,0,0.4554,0.0392,0,0,0,0.4686,0.0413,0,0,0,0.4818,0.0434,0,0,0,0.495,0.0455,0,0,0,0.5082,0.0476,0,0,0,0.5214,0.0497,0,0,0,0.5346,0.0518,0,0,0,0.5478,0.0539,0,0,0,0.561,0.056,0,0,0,0.5709,0.0581,0,0,0,0.5808,0.0602,0,0,0,0.5907,0.0623,0,0,0,0.6006,0.0644,0,0,0,0.6105,0.0665,0,0,0,0.6204,0.0686,0,0,0,0.6303,0.0707,0,0,0,0.6402,0.0728,0,0,0,0.6501,0.0749,0,0,0,0.66,0.077,0,0,0,0.6666,0.0784,0,0,0,0.6732,0.0798,0,0,0,0.6798,0.0812,0,0,0,0.6864,0.0826,0,0,0,0.693,0.084,0,0,0
Flame Art Pike,0.072,0.048,0,0.39,0,0.0765,0.051,0,0.4173,0,0.081,0.054,0,0.4446,0,0.0855,0.057,0,0.4719,0,0.09,0.06,0,0.4992,0,0.0945,0.063,0,0.5265,0,0.099,0.066,0,0.5538,0,0.1035,0.069,0,0.5811,0,0.108,0.072,0,0.6084,0,0.1125,0.075,0,0.6357,0,0.117,0.078,0,0.663,0,0.1206,0.0804,0,0.6825,0,0.1242,0.0828,0,0.702,0,0.1278,0.0852,0,0.7215,0,0.1314,0.0876,0,0.741,0,0.135,0.09,0,0.7605,0,0.1386,0.0924,0,0.78,0,0.1422,0.0948,0,0.7995,0,0.1458,0.0972,0,0.819,0,0.1494,0.0996,0,0.8385,0,0.153,0.102,0,0.858,0,0.1548,0.1032,0,0.8658,0,0.1566,0.1044,0,0.8736,0,0.1584,0.1056,0,0.8814,0,0.1602,0.1068,0,0.8892,0,0.162,0.108,0,0.897,0
Lightning Pike,0.035,0.429,0,0,0,0.0371,0.4422,0,0,0,0.0392,0.4554,0,0,0,0.0413,0.4686,0,0,0,0.0434,0.4818,0,0,0,0.0455,0.495,0,0,0,0.0476,0.5082,0,0,0,0.0497,0.5214,0,0,0,0.0518,0.5346,0,0,0,0.0539,0.5478,0,0,0,0.056,0.561,0,0,0,0.0581,0.5709,0,0,0,0.0602,0.5808,0,0,0,0.0623,0.5907,0,0,0,0.0644,0.6006,0,0,0,0.0665,0.6105,0,0,0,0.0686,0.6204,0,0,0,0.0707,0.6303,0,0,0,0.0728,0.6402,0,0,0,0.0749,0.6501,0,0,0,0.077,0.66,0,0,0,0.0784,0.6666,0,0,0,0.0798,0.6732,0,0,0,0.0812,0.6798,0,0,0,0.0826,0.6864,0,0,0,0.084,0.693,0,0,0
Sacred Pike,0.09,0.06,0,0.39,0,0.0936,0.0624,0,0.4173,0,0.0972,0.0648,0,0.4446,0,0.1008,0.0672,0,0.4719,0,0.1044,0.0696,0,0.4992,0,0.108,0.072,0,0.5265,0,0.1116,0.0744,0,0.5538,0,0.1152,0.0768,0,0.5811,0,0.1188,0.0792,0,0.6084,0,0.1224,0.0816,0,0.6357,0,0.126,0.084,0,0.663,0,0.1287,0.0858,0,0.6825,0,0.1314,0.0876,0,0.702,0,0.1341,0.0894,0,0.7215,0,0.1368,0.0912,0,0.741,0,0.1395,0.093,0,0.7605,0,0.1422,0.0948,0,0.78,0,0.1449,0.0966,0,0.7995,0,0.1476,0.0984,0,0.819,0,0.1503,0.1002,0,0.8385,0,0.153,0.102,0,0.858,0,0.1548,0.1032,0,0.8658,0,0.1566,0.1044,0,0.8736,0,0.1584,0.1056,0,0.8814,0,0.1602,0.1068,0,0.8892,0,0.162,0.108,0,0.897,0
Magic Pike,0.072,0.048,0.39,0,0,0.0747,0.0498,0.4173,0,0,0.0774,0.0516,0.4446,0,0,0.0801,0.0534,0.4719,0,0,0.0828,0.0552,0.4992,0,0,0.0855,0.057,0.5265,0,0,0.0882,0.0588,0.5538,0,0,0.0909,0.0606,0.5811,0,0,0.0936,0.0624,0.6084,0,0,0.0963,0.0642,0.6357,0,0,0.099,0.066,0.663,0,0,0.0999,0.0666,0.6825,0,0,0.1008,0.0672,0.702,0,0,0.1017,0.0678,0.7215,0,0,0.1026,0.0684,0.741,0,0,0.1035,0.069,0.7605,0,0,0.1044,0.0696,0.78,0,0,0.1053,0.0702,0.7995,0,0,0.1062,0.0708,0.819,0,0,0.1071,0.0714,0.8385,0,0,0.108,0.072,0.858,0,0,0.1098,0.0732,0.8697,0,0,0.1116,0.0744,0.8814,0,0,0.1134,0.0756,0.8931,0,0,0.1152,0.0768,0.9048,0,0,0.117,0.078,0.9165,0,0
Cold Pike,0.44,0.27,0.35,0,0,0.462,0.2835,0.3675,0,0,0.484,0.297,0.385,0,0,0.506,0.3105,0.4025,0,0,0.528,0.324,0.42,0,0,0.55,0.3375,0.4375,0,0,0.572,0.351,0.455,0,0,0.594,0.3645,0.4725,0,0,0.616,0.378,0.49,0,0,0.638,0.3915,0.5075,0,0,0.66,0.405,0.525,0,0,0.6732,0.4131,0.539,0,0,0.6864,0.4212,0.553,0,0,0.6996,0.4293,0.567,0,0,0.7128,0.4374,0.581,0,0,0.726,0.4455,0.595,0,0,0.7392,0.4536,0.609,0,0,0.7524,0.4617,0.623,0,0,0.7656,0.4698,0.637,0,0,0.7788,0.4779,0.651,0,0,0.792,0.486,0.665,0,0,0.8008,0.4914,0.672,0,0,0.8096,0.4968,0.679,0,0,0.8184,0.5022,0.686,0,0,0.8272,0.5076,0.693,0,0,0.836,0.513,0.7,0,0
Poison Pike,0.44,0.27,0,0,0.3,0.4576,0.2808,0,0,0.309,0.4752,0.2916,0,0,0.318,0.4928,0.3024,0,0,0.327,0.5104,0.3132,0,0,0.336,0.528,0.324,0,0,0.345,0.5456,0.3348,0,0,0.354,0.5632,0.3456,0,0,0.363,0.5808,0.3564,0,0,0.372,0.5984,0.3672,0,0,0.381,0.616,0.378,0,0,0.39,0.6292,0.3861,0,0,0.393,0.6424,0.3942,0,0,0.396,0.6556,0.4023,0,0,0.399,0.6688,0.4104,0,0,0.402,0.682,0.4185,0,0,0.405,0.6952,0.4266,0,0,0.408,0.7084,0.4347,0,0,0.411,0.7216,0.4428,0,0,0.414,0.7348,0.4509,0,0,0.417,0.748,0.459,0,0,0.42,0.7656,0.4698,0,0,0.423,0.7832,0.4806,0,0,0.426,0.8008,0.4914,0,0,0.429,0.8184,0.5022,0,0,0.432,0.836,0.513,0,0,0.435
Blood Pike,0.44,0.27,0,0,0.3,0.4576,0.2808,0,0,0.309,0.4752,0.2916,0,0,0.318,0.4928,0.3024,0,0,0.327,0.5104,0.3132,0,0,0.336,0.528,0.324,0,0,0.345,0.5456,0.3348,0,0,0.354,0.5632,0.3456,0,0,0.363,0.5808,0.3564,0,0,0.372,0.5984,0.3672,0,0,0.381,0.616,0.378,0,0,0.39,0.6292,0.3861,0,0,0.393,0.6424,0.3942,0,0,0.396,0.6556,0.4023,0,0,0.399,0.6688,0.4104,0,0,0.402,0.682,0.4185,0,0,0.405,0.6952,0.4266,0,0,0.408,0.7084,0.4347,0,0,0.411,0.7216,0.4428,0,0,0.414,0.7348,0.4509,0,0,0.417,0.748,0.459,0,0,0.42,0.7656,0.4698,0,0,0.423,0.7832,0.4806,0,0,0.426,0.8008,0.4914,0,0,0.429,0.8184,0.5022,0,0,0.432,0.836,0.513,0,0,0.435
Occult Pike,0.152,0.096,0,0,0.67,0.1596,0.1008,0,0,0.6968,0.1672,0.1056,0,0,0.7236,0.1748,0.1104,0,0,0.7504,0.1824,0.1152,0,0,0.7772,0.19,0.12,0,0,0.804,0.1976,0.1248,0,0,0.8308,0.2052,0.1296,0,0,0.8576,0.2128,0.1344,0,0,0.8844,0.2204,0.1392,0,0,0.9112,0.228,0.144,0,0,0.938,0.2318,0.1464,0,0,0.9581,0.2356,0.1488,0,0,0.9782,0.2394,0.1512,0,0,0.9983,0.2432,0.1536,0,0,1.0184,0.247,0.156,0,0,1.0385,0.2508,0.1584,0,0,1.0586,0.2546,0.1608,0,0,1.0787,0.2584,0.1632,0,0,1.0988,0.2622,0.1656,0,0,1.1189,0.266,0.168,0,0,1.139,0.2698,0.1704,0,0,1.1524,0.2736,0.1728,0,0,1.1658,0.2774,0.1752,0,0,1.1792,0.2812,0.1776,0,0,1.1926,0.285,0.18,0,0,1.206
Torchpole,0.41,0.41,0,0,0,0.4182,0.4182,0,0,0,0.4264,0.4264,0,0,0,0.4346,0.4346,0,0,0,0.4428,0.4428,0,0,0,0.451,0.451,0,0,0,0.4592,0.4592,0,0,0,0.4674,0.4674,0,0,0,0.4756,0.4756,0,0,0,0.4838,0.4838,0,0,0,0.492,0.492,0,0,0,0.5002,0.5002,0,0,0,0.5084,0.5084,0,0,0,0.5166,0.5166,0,0,0,0.5248,0.5248,0,0,0,0.533,0.533,0,0,0,0.5412,0.5412,0,0,0,0.5494,0.5494,0,0,0,0.5576,0.5576,0,0,0,0.5658,0.5658,0,0,0,0.574,0.574,0,0,0,0.5822,0.5822,0,0,0,0.5904,0.5904,0,0,0,0.5986,0.5986,0,0,0,0.6068,0.6068,0,0,0,0.615,0.615,0,0,0
Bolt of Gransax,0.3,0.4,0,0,0,0.324,0.432,0,0,0,0.348,0.464,0,0,0,0.372,0.496,0,0,0,0.396,0.528,0,0,0,0.42,0.56,0,0,0,0.444,0.592,0,0,0,0.468,0.624,0,0,0,0.492,0.656,0,0,0,0.516,0.688,0,0,0,0.54,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross-Naginata,0.25,0.6,0,0,0,0.255,0.612,0,0,0,0.26,0.624,0,0,0,0.265,0.636,0,0,0,0.27,0.648,0,0,0,0.275,0.66,0,0,0,0.28,0.672,0,0,0,0.285,0.684,0,0,0,0.29,0.696,0,0,0,0.295,0.708,0,0,0,0.3,0.72,0,0,0,0.305,0.732,0,0,0,0.31,0.744,0,0,0,0.315,0.756,0,0,0,0.32,0.768,0,0,0,0.325,0.78,0,0,0,0.33,0.792,0,0,0,0.335,0.804,0,0,0,0.34,0.816,0,0,0,0.345,0.828,0,0,0,0.35,0.84,0,0,0,0.355,0.852,0,0,0,0.36,0.864,0,0,0,0.365,0.876,0,0,0,0.37,0.888,0,0,0,0.375,0.9,0,0,0
Heavy Cross-Naginata,0.846,0,0,0,0,0.8695,0,0,0,0,0.893,0,0,0,0,0.9165,0,0,0,0,0.94,0,0,0,0,0.9635,0,0,0,0,0.987,0,0,0,0,1.0105,0,0,0,0,1.034,0,0,0,0,1.0575,0,0,0,0,1.081,0,0,0,0,1.0998,0,0,0,0,1.1186,0,0,0,0,1.1374,0,0,0,0,1.1562,0,0,0,0,1.175,0,0,0,0,1.1938,0,0,0,0,1.2126,0,0,0,0,1.2314,0,0,0,0,1.2502,0,0,0,0,1.269,0,0,0,0,1.2784,0,0,0,0,1.2878,0,0,0,0,1.2972,0,0,0,0,1.3066,0,0,0,0,1.316,0,0,0,0
Keen Cross-Naginata,0.085,0.915,0,0,0,0.0901,0.9455,0,0,0,0.0952,0.976,0,0,0,0.1003,1.0065,0,0,0,0.1054,1.037,0,0,0,0.1105,1.0675,0,0,0,0.1156,1.098,0,0,0,0.1207,1.1285,0,0,0,0.1258,1.159,0,0,0,0.1309,1.1895,0,0,0,0.136,1.22,0,0,0,0.1428,1.2444,0,0,0,0.1496,1.2688,0,0,0,0.1564,1.2932,0,0,0,0.1632,1.3176,0,0,0,0.17,1.342,0,0,0,0.1768,1.3664,0,0,0,0.1836,1.3908,0,0,0,0.1904,1.4152,0,0,0,0.1972,1.4396,0,0,0,0.204,1.464,0,0,0,0.2074,1.4762,0,0,0,0.2108,1.4884,0,0,0,0.2142,1.5006,0,0,0,0.2176,1.5128,0,0,0,0.221,1.525,0,0,0
Quality Cross-Naginata,0.54,0.54,0,0,0,0.567,0.567,0,0,0,0.594,0.594,0,0,0,0.621,0.621,0,0,0,0.648,0.648,0,0,0,0.675,0.675,0,0,0,0.702,0.702,0,0,0,0.729,0.729,0,0,0,0.756,0.756,0,0,0,0.783,0.783,0,0,0,0.81,0.81,0,0,0,0.8262,0.8262,0,0,0,0.8424,0.8424,0,0,0,0.8586,0.8586,0,0,0,0.8748,0.8748,0,0,0,0.891,0.891,0,0,0,0.9072,0.9072,0,0,0,0.9234,0.9234,0,0,0,0.9396,0.9396,0,0,0,0.9558,0.9558,0,0,0,0.972,0.972,0,0,0,0.9828,0.9828,0,0,0,0.9936,0.9936,0,0,0,1.0044,1.0044,0,0,0,1.0152,1.0152,0,0,0,1.026,1.026,0,0,0
Fire Cross-Naginata,0.468,0.04,0,0,0,0.4824,0.0424,0,0,0,0.4968,0.0448,0,0,0,0.5112,0.0472,0,0,0,0.5256,0.0496,0,0,0,0.54,0.052,0,0,0,0.5544,0.0544,0,0,0,0.5688,0.0568,0,0,0,0.5832,0.0592,0,0,0,0.5976,0.0616,0,0,0,0.612,0.064,0,0,0,0.6228,0.0664,0,0,0,0.6336,0.0688,0,0,0,0.6444,0.0712,0,0,0,0.6552,0.0736,0,0,0,0.666,0.076,0,0,0,0.6768,0.0784,0,0,0,0.6876,0.0808,0,0,0,0.6984,0.0832,0,0,0,0.7092,0.0856,0,0,0,0.72,0.088,0,0,0,0.7272,0.0896,0,0,0,0.7344,0.0912,0,0,0,0.7416,0.0928,0,0,0,0.7488,0.0944,0,0,0,0.756,0.096,0,0,0
Flame Art Cross-Naginata,0.04,0.096,0,0.41,0,0.0425,0.102,0,0.4387,0,0.045,0.108,0,0.4674,0,0.0475,0.114,0,0.4961,0,0.05,0.12,0,0.5248,0,0.0525,0.126,0,0.5535,0,0.055,0.132,0,0.5822,0,0.0575,0.138,0,0.6109,0,0.06,0.144,0,0.6396,0,0.0625,0.15,0,0.6683,0,0.065,0.156,0,0.697,0,0.067,0.1608,0,0.7175,0,0.069,0.1656,0,0.738,0,0.071,0.1704,0,0.7585,0,0.073,0.1752,0,0.779,0,0.075,0.18,0,0.7995,0,0.077,0.1848,0,0.82,0,0.079,0.1896,0,0.8405,0,0.081,0.1944,0,0.861,0,0.083,0.1992,0,0.8815,0,0.085,0.204,0,0.902,0,0.086,0.2064,0,0.9102,0,0.087,0.2088,0,0.9184,0,0.088,0.2112,0,0.9266,0,0.089,0.2136,0,0.9348,0,0.09,0.216,0,0.943,0
Lightning Cross-Naginata,0.04,0.468,0,0,0,0.0424,0.4824,0,0,0,0.0448,0.4968,0,0,0,0.0472,0.5112,0,0,0,0.0496,0.5256,0,0,0,0.052,0.54,0,0,0,0.0544,0.5544,0,0,0,0.0568,0.5688,0,0,0,0.0592,0.5832,0,0,0,0.0616,0.5976,0,0,0,0.064,0.612,0,0,0,0.0664,0.6228,0,0,0,0.0688,0.6336,0,0,0,0.0712,0.6444,0,0,0,0.0736,0.6552,0,0,0,0.076,0.666,0,0,0,0.0784,0.6768,0,0,0,0.0808,0.6876,0,0,0,0.0832,0.6984,0,0,0,0.0856,0.7092,0,0,0,0.088,0.72,0,0,0,0.0896,0.7272,0,0,0,0.0912,0.7344,0,0,0,0.0928,0.7416,0,0,0,0.0944,0.7488,0,0,0,0.096,0.756,0,0,0
Sacred Cross-Naginata,0.05,0.12,0,0.41,0,0.052,0.1248,0,0.4387,0,0.054,0.1296,0,0.4674,0,0.056,0.1344,0,0.4961,0,0.058,0.1392,0,0.5248,0,0.06,0.144,0,0.5535,0,0.062,0.1488,0,0.5822,0,0.064,0.1536,0,0.6109,0,0.066,0.1584,0,0.6396,0,0.068,0.1632,0,0.6683,0,0.07,0.168,0,0.697,0,0.0715,0.1716,0,0.7175,0,0.073,0.1752,0,0.738,0,0.0745,0.1788,0,0.7585,0,0.076,0.1824,0,0.779,0,0.0775,0.186,0,0.7995,0,0.079,0.1896,0,0.82,0,0.0805,0.1932,0,0.8405,0,0.082,0.1968,0,0.861,0,0.0835,0.2004,0,0.8815,0,0.085,0.204,0,0.902,0,0.086,0.2064,0,0.9102,0,0.087,0.2088,0,0.9184,0,0.088,0.2112,0,0.9266,0,0.089,0.2136,0,0.9348,0,0.09,0.216,0,0.943,0
Magic Cross-Naginata,0.04,0.096,0.42,0,0,0.0415,0.0996,0.4494,0,0,0.043,0.1032,0.4788,0,0,0.0445,0.1068,0.5082,0,0,0.046,0.1104,0.5376,0,0,0.0475,0.114,0.567,0,0,0.049,0.1176,0.5964,0,0,0.0505,0.1212,0.6258,0,0,0.052,0.1248,0.6552,0,0,0.0535,0.1284,0.6846,0,0,0.055,0.132,0.714,0,0,0.0555,0.1332,0.735,0,0,0.056,0.1344,0.756,0,0,0.0565,0.1356,0.777,0,0,0.057,0.1368,0.798,0,0,0.0575,0.138,0.819,0,0,0.058,0.1392,0.84,0,0,0.0585,0.1404,0.861,0,0,0.059,0.1416,0.882,0,0,0.0595,0.1428,0.903,0,0,0.06,0.144,0.924,0,0,0.061,0.1464,0.9366,0,0,0.062,0.1488,0.9492,0,0,0.063,0.1512,0.9618,0,0,0.064,0.1536,0.9744,0,0,0.065,0.156,0.987,0,0
Cold Cross-Naginata,0.22,0.54,0.34,0,0,0.231,0.567,0.357,0,0,0.242,0.594,0.374,0,0,0.253,0.621,0.391,0,0,0.264,0.648,0.408,0,0,0.275,0.675,0.425,0,0,0.286,0.702,0.442,0,0,0.297,0.729,0.459,0,0,0.308,0.756,0.476,0,0,0.319,0.783,0.493,0,0,0.33,0.81,0.51,0,0,0.3366,0.8262,0.5236,0,0,0.3432,0.8424,0.5372,0,0,0.3498,0.8586,0.5508,0,0,0.3564,0.8748,0.5644,0,0,0.363,0.891,0.578,0,0,0.3696,0.9072,0.5916,0,0,0.3762,0.9234,0.6052,0,0,0.3828,0.9396,0.6188,0,0,0.3894,0.9558,0.6324,0,0,0.396,0.972,0.646,0,0,0.4004,0.9828,0.6528,0,0,0.4048,0.9936,0.6596,0,0,0.4092,1.0044,0.6664,0,0,0.4136,1.0152,0.6732,0,0,0.418,1.026,0.68,0,0
Poison Cross-Naginata,0.22,0.54,0,0,0.3,0.2288,0.5616,0,0,0.309,0.2376,0.5832,0,0,0.318,0.2464,0.6048,0,0,0.327,0.2552,0.6264,0,0,0.336,0.264,0.648,0,0,0.345,0.2728,0.6696,0,0,0.354,0.2816,0.6912,0,0,0.363,0.2904,0.7128,0,0,0.372,0.2992,0.7344,0,0,0.381,0.308,0.756,0,0,0.39,0.3146,0.7722,0,0,0.393,0.3212,0.7884,0,0,0.396,0.3278,0.8046,0,0,0.399,0.3344,0.8208,0,0,0.402,0.341,0.837,0,0,0.405,0.3476,0.8532,0,0,0.408,0.3542,0.8694,0,0,0.411,0.3608,0.8856,0,0,0.414,0.3674,0.9018,0,0,0.417,0.374,0.918,0,0,0.42,0.3828,0.9396,0,0,0.423,0.3916,0.9612,0,0,0.426,0.4004,0.9828,0,0,0.429,0.4092,1.0044,0,0,0.432,0.418,1.026,0,0,0.435
Blood Cross-Naginata,0.22,0.54,0,0,0.3,0.2288,0.5616,0,0,0.309,0.2376,0.5832,0,0,0.318,0.2464,0.6048,0,0,0.327,0.2552,0.6264,0,0,0.336,0.264,0.648,0,0,0.345,0.2728,0.6696,0,0,0.354,0.2816,0.6912,0,0,0.363,0.2904,0.7128,0,0,0.372,0.2992,0.7344,0,0,0.381,0.308,0.756,0,0,0.39,0.3146,0.7722,0,0,0.393,0.3212,0.7884,0,0,0.396,0.3278,0.8046,0,0,0.399,0.3344,0.8208,0,0,0.402,0.341,0.837,0,0,0.405,0.3476,0.8532,0,0,0.408,0.3542,0.8694,0,0,0.411,0.3608,0.8856,0,0,0.414,0.3674,0.9018,0,0,0.417,0.374,0.918,0,0,0.42,0.3828,0.9396,0,0,0.423,0.3916,0.9612,0,0,0.426,0.4004,0.9828,0,0,0.429,0.4092,1.0044,0,0,0.432,0.418,1.026,0,0,0.435
